Bio,labels
"#T1D, #cyclist that loves to #mtb, Learning #Spanish, Gopher working on microservices",-1
"#Travel Inspired #Music from Bend, Oregon USA",-1
#TwitchAffliate I #Destiny2 I Team member for @FeekiFam I Gamer from Central Oregon who loves gaming I Co-founder of Lack Jack's,-1
#UOregon alum living the #BendOregon life. Punching in at @MerkleRKG helping businesses with #DigitalMarketing as a #SEO Specialist. #InBend #GoDucks #GoPups,-1
"#VoiceActor,  #Audiobook Narrator and Pinot Noir Connoisseur!",-1
"#WeAre and #GoCougs alum. Current Penn State student. If I laugh, I like. Same user name at the platform that starts with a P but is not the Pin place",-1
"#YangGang, @Fwd_Party, Marketing & Sales Operations, Blockchain Technology, Crypto, World Traveler, Mountain Biker, Scuba Diver, Ocean Conservationist",-1
"#YangGang. Privacy Expert. Owner of Blinds, Etc. Minstrel. Magician. Addams Family Pinball Champion.",-1
#youngsavage,-1
ॐ wifey. mommy. happy.,-1
++// programs for your speakers //++.           //bookings: izzy@sophrosynesound.com //management: dk@kompassmg.com,-1
¿ᵂᴱᴵᴿᴰ ᴵˢ ᴹᴱ ᴬᴺᴰ ᵞᴼᵁ ᴮᴬᴱ? вιѕн ι ʝυѕт ωαит тσ вє αи α¢тяєѕѕ,0
¯\_(ツ)_/¯,0
¯\_(ツ)_/¯,0
| #nowimpyhugs | IG: moo_berry Follow @PartyGorillaApp,-1
| 26 • boy mom 💪🏼 girl mom 🌸• | lover of wine 🍷,4
| hiphop Artist | Music Engineer | EMGVibes |TCrafts | *Trippy Spirit Pioneer* Instagram: Offtopicoften | http://facebook.com/offtopicoften,3
"| WNY raised, PNW livin 🌄",-1
||we love because he first loved us||,-1
|Oregon State 21'&#x1f5a4;|ALPHA GAM|,-1
|PDX🌹|Jesus|A.V💍| •This is everything I am •Founder of @bossgirlapparel 👇🏼Click below to shop👇🏼,-1
~ chiflada ~ chismosa ~ chingona ~,-1
"~Broker, Cascade Sothebys International Realty.",10
~skiing snowboarding & snowmobiling✊ soccer ⚽️,6
$ I'm so money $,13
$CRYPTO Investor/Trader. Capitalist. $ Talks. Bullshit Walks. $BTC $EOS $ADA $BAT $BQX $NAS $NULS $WAX 📈,-1
$graceriverss • she/her • ♒︎♏︎♋︎/♑︎♎︎♊︎,-1
$ryanhildebrand,-1
02 🐰💙,0
1.  Be Impeccable With Your Word.2.  Don't Take Anything Personally3.  Don't Make Assumptions4.  ALWAYS DO YOUR BEST!,-1
1/2 hippie 1/2 marine....,-1
"10 Barrel Brewer, Enjoyer of Hops, Smasher if Pints.",-1
10+ years of modeling the Disney parks in 3D. Claim to fame: I stayed 2 nights in Disneyland on top of the castle to help with the 60th overlay 😀,-1
100% caffeinated,-1
100% inconsequential,-1
10th grade biology teacher who casually forces her students to love Taylor Swift as much as she does &#x1f495;Never met Tay &#x1f495;,-1
11.5.10 ❤ Forget Uncut Gems... I wanna see an oscar for Click,-1
120YG is the name #TeamNoLackin all day,-1
13|HDMS|Baseball|Basketball|Track|Skiing| FOLLOW IF READ YOU THIS WRONG .,-1
14-&#x1f43b;Bend High&#x1f43b;-Airsoft-Xbox-Guitar,4
"15|| Bend, Or",-1
16 year old music producer and cinematographer | Zucchini God,-1
17| 🌲oregon🌲| stay humble,4
175 pounds of pure sex appeal.,-1
18 yrs scooteting is my favorite spirt 2 do. school & family come 1st. music is my life & i love meetin new people. shy @ 1st. when u get kno me im a fun person,-1
18. Writer-Actor-Director. Live life to the fullest.,-1
18+ only. I'm Danika but you may refer to me as Goddess or Daddy. | 🚫Unblock fee $50🚫,4
19 &#x1f352;,4
19 &#x1f929;,4
1️⃣Husband/father to a great family. 2️⃣Honored to be a coach. 3️⃣ 🇺🇸. Former @alabamabsb 🐘 @angels ⚾️,-1
1of1,4
1st career was selling golfers back lost golf balls now founder @ipohomes I'm a Realtor sales pro plus a blast to tweet with so follow. Dad.,-1
2.5.17💞,0
20 ☼ virgo ☼ she/her,4
20 / ++® 🏄🏽🌊🐉🌳🔥🎶🤘🏽🐲/📸: wainsworth_,4
20 &#x1f340; at the gym at school or getting a tattoo &#x1f919;&#x1f3fc; wellness and coaching major &#x1f4aa;&#x1f3fc;,1
20 | bend or,-1
20 IG: sarahclarky21,4
20. Central Oregon,11
20. Living life. Race dirtbikes. Following my dreams and checking off my goals.,-1
"2004 - The Bubbly social butterfly with a beautiful smile girl was taken over by a woman who I don't want to be. He killed the happiness in me, slowly.",-1
2006 Civic Si1992 Honda PreludeI like Cars,-1
"2013 National Champs. ND '14 Life is good. New York, NY",-1
2013 Vuelta a España Champion,6
2016 graduate from the University of Arizona / /@numieco / / / Strong desire to learn & grow,-1
"2016 Oregon Teacher of the Year, 2017 NEA Teacher in Excellence, NBCT, NBCT candidate support provider and teacher leader in technology magnet school.",-1
20545 Se Sunmeadow Way,4
21 | COCC📚 | Sagittarius sc:delanieautumn22,4
21 | DMV | Very famous amongst friends,-1
21 | Whitworth University,-1
21 Year old | Aspiring Youtube Gamer 🎮| Rockclimbing 🧗‍♂️ | U.S Army 🇺🇸 | 69 Subs| Dm me for collabs and other things!,-1
"21 year old nursing student! Born and raised in SO CAL currently in OR.  Love tattoos, the outdoors, baking, and the 49 ers !",-1
21 years young☺️,4
"21, i enjoy snowboarding, gaming (Xbox & PC), 420 enthusiast. Idk why i am on twitter but here i am. add me on Xbox: DabbleW1ZARD541",4
21&#x1f499; house and bass&#x1f32a;,4
"21st Paradigm (501c3): Vanessa Schulz, making documentaries to help animals. Current film, ""Hero Dog"" now streaming: https://21paradigm.org",-1
22 / / Live life / / Real eyes realize real lies,12
22 | save the bees | ☕️ | ♎︎ | LSDreamer💫 |,4
22 Years old. In relationship with the love of my life. Bend Oregon,11
22 years young. Bend Oregon 🏡. 11-14-15 💑.,11
22 😋                                                     📸sami1130                                                     Insta : Sami_higgins2,4
"22,",4
23 • 503➡️541 • I just wanna help,4
23 • PNW • 6.26.2020👶🏼,4
23 || Bend OR |,-1
"23 year old photographer and videographer from Bend Oregon, working as a photographer at KTVZ.",-1
23 years old. Bend/NW Native. Serving and drinking the best beer on the planet.,-1
"23. Bend, Oregon. 🌲",11
23. human clone since birth. social media is my life here it is. im always serious lol,4
23~Takelman🪶🐺~ precise and absolute,4
"23🎈Also, I’m Michael De Santa’s daughter🥰💙 A Ni W Poo",-1
24 • lover of all dogs • insta: kennnnamoe,-1
24• MCMXCVI • you have to think you’re successful to be successful • weber state alum • BLM,-1
24/ Native/ ♒️,4
25 (He/Him),4
"25 || Ovaries before brovaries || 2w3 || ENFJ || Input, Achiever, Harmony, Woo & Intellect || Cancer ♋️ || Gryffindor with a Ravenclaw Moon",4
"25, training to be a chef. Life is fun.",-1
25!! 🤠,4
26 | scorpio,4
"28, athletic build, brown hair, blue eyes, 155lbs, 61 height and movin forward in life finally.....im kind of a romantic and really easy going",-1
28. UT Alum. Residing in the PNW.,11
29. Child of the Nineties. Music Junkie. Educated Woman. Open Mind.,-1
"3 powerful approaches for the Necessary Organizational Renaissance, created by @SilkeHermann & @NielsPflaeging of @RedForty2. Promoting use of the #BetaCodex",-1
"3 powerful approaches for the Necessary Organizational Renaissance, created by @SilkeHermann & @NielsPflaeging of @RedForty2. Promoting use of the #BetaCodex",-1
"30, Family, Games,sports are what I'm about!",-1
"33. Bend, Oregon. Portlander. Music, spirituality, politics, conspiracies, comedy, horror, ex-evangelical. I'll be honest, I really Twitter.",11
35/♎️/F/Married/Black/Cuban/Native American/Irish/Creator of Destiny in the Flames/Artist/Actress/Oregon/‼️18+ NSFW ahead‼️/I draw my own stuff&things I like💖,4
"36 years in the mortgage industry, Mortgage Specialist with Bank of Oregon. Home loans in all states.",10
365 Days of Cooking With Alcohol Blog/Recipe Project,-1
"38 year old gamer who loves shooter games. mainly play Warzone,and am a lv up Facebook streamer.                         https://discord.gg/yKvsMZJ2NF",-1
"39 Years old, Happily Married.",-1
3D Artist @sketchbookinc Founder @bendtrails,-1
3D Artist at Sony @BendStudio. Views do not reflect those of my employer. Potentially funny to almost nobody.,-1
"3D Printing, Making, 3D Designing, Modding, Innovating, and Creating. Mayor of Bend's 3DHubs, and Director on the High Desert Makers Board.",-1
"3rd generation REALTOR with 14 years of experience in 3 different states. I’m excited to be with Berkshire Hathaway - Fox & Roach in beautiful Blue Bell, PA.",10
"4 children aged 4yrs and under, one husband & hound #knuckingfackered",-1
"4:11 positrac Outback, 750 double pumper, Edelbrock intake, bored over 30, 11 to 1 pop-up pistons, turbo-jet 390 horsepower.",-1
4/7/17 fly high 😇,4
"40+ years software industry veteran. iOS/watchOS developer focusing on fitness and Bluetooth LE. Resisting the usage of ""ask"" as a noun since 2018.",-1
"48 , american male , presidential canidate , libertarian",-1
"48 year old Daddy, in Love with my life, my fam, my town and the beer that oozes from it.",-1
4th Generation Family Business | Chair of Oregon's Chamber of Commerce | Advocate for Students | Husband | Father | Skier | Go DUCKS! (opinions are my own),-1
4x Disc Golf World Champion2020 Hall of Fame Member#DiscGolf @DiscraftDiscGolf @GripEq @huklab @DiscGolf4Women,-1
5’6 all legs,-1
5”3 300lbs D1 table tennis national champion,-1
5% of my proceeds from every sale  will be donated to the school or non-profit of your choice. Let's work together to make our communities even better!,-1
50-40-90 lifetime club member,-1
50&#x1f332; to Bend??,-1
541-323-3470,-1
"5th Gen Texas native, Still-Learning Husband, Superb Dad, Marine Vet, and lover of all things 2-wheeled.",-1
"5th grade teacher, Distinguished Educator,Discovery Star Educator,Edtech Specialist,Curric. Leader,Monticello Barringer Fellow, and Inst. Coach at BetterLesson",-1
"5x Twitter Tourney Winner | UMG: NAK0LAS , 12k | Youtube: Nakolas | “Stay low, go fast. Kill first, die last. One shot, one kill. No luck, all skill",-1
"6 p.m. Producer, Health Reporter @KTVZ #healthheadlines @UOsojc @ducktvnews Alum  #GoDucks #RedSoxNation #GoPats",-1
6'1 and wanna be a damn bodybuilder,-1
"60  something computer geek who enjoys family, friends, genealogy, history, and taking pics. I'm a proud soccer mom!",-1
700 epidemiologists can't be wrong #wearamask #washyourhands #getvaxxed #NoDMsplease,-1
7th year NFL Player  • @notredame Alum • Founder @TPCxyz • @Vikings DT • Builder • Financial Literacy Advocate. Rock with me!,-1
"8 year, 2 deployment infantrymen.  Amateur actor. Aiming high and missing is better than not taking the shot at all.",-1
80% nice 20% hater || she / her || views are my own,-1
8th Grade ELA Teacher - @DrakescreekMS Engage and Connect for Success 💛🐊,-1
9-2-16 I love you || http://Obama.so.thrill,-1
90% hot toddy,-1
"90% Retweets, 10% Gripe.",9
"9X Ironman, Aspiring Fast Runner, Enthusiastic Baker,  @bikegoodr & @Nunn Ambassador #OiselleVolee Runner",-1
A #podcast that speaks with social impact designers and activists that are addressing social justice issues. http://www.socialdesigninsights.com,-1
"A #Tech #Marketing Professional. I love to meet new people. Full time Mama to 12 yo boy/girl twins. Sports, #DUCKS, Shoes,& Networking are my favorite things :)",-1
a 57 year old cov city fan with an ear for good music. I can put a tennis racket up against my face & pretend that I'm kendo Nagasaki #HMHB,-1
"A baby is born every 2.2 minutes in Florida. While most are healthy, nearly 1 in 8 is born too early and 1 in 43 is born with serious birth defects.",-1
A Better Life.,12
"a bit nerdy, some hipster, and I'm in love with my life and the people I get to share it with.",-1
A collection of recipes and general advice on following the Slow Carb Diet.,-1
"A collector & disseminator of contemporary wit & wisdom. Reagan Conservative, Austrian School Economics, Tea Party, Hobbits, Guns, Art, Lit.",2
"A Community Librarian following the clouds. Reader’s advisory, art, poetry and book talks for all ages. I’m always reading…hot chocolate too.",2
"A comprehensive resource website on all things cycling in and around Bend, Oregon.",-1
"A Conscious Soul, awakening to a new Mythology with the rest of Humanity. Want to help me craft a New Story?",-1
A Dad and a husband who loves inspiring and Encouraging others while drinking lots of coffee!,-1
"A delicious & nutritious brew for your dog! Dawg Grog is made with brewers wort, vegetarian k9 glucosamine, & vegan trace mineral supplement.",-1
"A destination for math students and teachers.  Find math instructional videos, virtual tutoring, and resources for students and teachers.",-1
"A father, husband and Marriage and Family Therapist living in Bend, OR",-1
"A feisty Dem that’s sick and tired of liars and cheats. All likes, tweets and retweets reflect my personal opinions, points of view, queries or perspectives.",-1
a few of my thoughts &#x1f914;,-1
"A former political hack turned salesman & freelance photographer of sports and other items.  He will also geek out on weather, news, and other bits.",-1
"a freaky feminist who loves cats, my dog, theatre and mah boy. ✨ PNW funny gal. ✨   likes: waffles and the news",-1
a girl who just wants to have fun,-1
A go getter.,-1
A guy on the internet,-1
"A ham radio operator mostly active on 2M/220/440, APRS and HSMM-MESH. My primary Twitter account is @DanDawson",-1
A happily married quilter who also loves to ride bikes,-1
"A hard rockin', cool groovin', high-energy, #skamusic explosion that you don't wanna' miss! http://www.reverbnation.com/necktiekiller",3
A high-performance culture makes our work environment demanding but exceptionally fulfilling.,-1
"A hiker, photographer, writer, far-reaching goal maker who is constantly mistaken for a bear, even in the city.",-1
A homie,-1
a jewelry designing optimist still searching for nature's secrets,5
"A journalist-exclusive source for Oregon news and stories from the Travel Oregon PR team. For general travel tips, follow @TravelOregon",-1
"a known flyfishing assassin, IPA veteran, music festival and concert junkie! if I had a dog, you could follow it on instagram!",-1
A lifelong student of Digital Communication & Culture 🤓🧠 Traverser of the Gen neXt divide 💿,-1
"A little learning is a dangerous thing; drink deep, or taste not the Pierian spring. Alexander Pope",-1
A little perspective goes a long way.,-1
"A living buddha providing exceptionally accurate guidance to The Permanent Now, Spiritual Awakening, Enlightenment and no more suffering.",-1
"A mi si me fallas, me fallas solo una vez ☀️",-1
"A mobile bar service based in Bend, OR. We offer a fun & funky aesthetic, serving craft beer, wine & cocktails from our vintage rig!",-1
A moment captured can last forever. - #DAMcreative https://david-millenheft.pixels.com/,-1
A nerdy engineer with a fondness for the outdoors.,-1
A penchant for high altitude wilderness precipices,6
A persons a person no matter how small ♥,-1
A pharma blerd trying to get a piece of the dream in a cold world. Currently preparing for the end.,1
"A photographing, shoe loving, coffee date going, teaching, social butter-flying type of gal. And I mostly just want to be your friend :)",-1
"A place for athletes to give back (share their tips and tricks) to help the next generation of aspiring athletes, coaches, and sports parents around the world!",-1
A Place For Starr follows a brave girl's journey to break the cycle of family violence & leave an abusive home. Starr is a story of Hope. #BeAVoice #EndDV,-1
A process of ongoing caffeination,-1
A progressive Texan in a bad mood. Politics guy & stuff pointer-outer. A great product won’t make up for a bad strategy. Let’s chat about it.,-1
a quail flew into my midsection,-1
A rebrand is happening. The former @Nutritionella is now tweeting at @ellepennerRD. Come find me over there!,-1
"A recent transplant from the east coast to the easy coast. I work in sports tv and travel a lot. Love to ski, mountain bike, camp and hike. Love NHL hockey.",-1
"A recreational, adrenaline-craving, beer & burger -loving junky #inbend area searching for the next adventure....",-1
A sad teen who plays videogames,-1
"A sassy, unapologetic dream team of 5 powerful babes on a mission to help women create their #sweetsuccess! Founded by tv host &entrepreneur Erin Lane",-1
"A simple guy, family man, motivator, public speaker, outdoor adventurer, living life, snowboarder, fly fisher, natural health, essential oils.",6
A site about email. http://email-is-good.com/2018/04/29/email-is-good/,-1
"A sports nut who moved from the Silicon Valley to Bend, Oregon.  I also love to travel.",11
A stripping down to the truth of the matter. An exploration and appreciation of wilder running and writing. Retreat led by @laurenfleshman with @zenpeacekeeper.,2
"A teacher, mastergardener, golden retriever lover and so much more.",-1
"A thoughtfully and authentically restored mill house in the heart of Bend, Or.",-1
A to Z Survival will empower its members and clients with:  TOOLS • SKILLS • COMFORT • KNOWLEDGE HEALTHto be prepared to survive any disaster situation.,-1
A tornado met a volcano sucked my sparkle in my eye,-1
"A trendy new clothing store in Bend, Oregon. We'll give you money for your clothes, or we'll sell you trendy, fashionable alternatives...for less.",-1
A twitter app built by @cjgraphix. Review your followers before you follow them back. We also built @whounfollowedme,9
A Twitter bio for my Twitter profile.,9
"a volunteer driven group supporting Pete Buttigieg in his historic campaign and onward! based in Bend OR, not associated with official PFA campaign",-1
A well caffeinated individual with a love of #sales and the #missioncritical world of #technology that offers the chance to meet so many remarkable people.,-1
a western man in a western land,-1
